Record
95
-70
98
-77
89
-69
52
-54
55
-94
52
-90
92
-55
97
-77
-68
51
-72
-79
49
-78
76
43
89
77
45
98
54
81
74
82
78
83
79
55
53
-55
84
-44
85
-86
45
-95
-73
79
-46
67
68
47
-65
67
-49
82
-69
-48
-85
-42
89
66
98
-77
98
-78
53
-77
76
-56
75
-74
-59
-98
-73
58
97
57
96
76
94
74
93
74
53
50
40
87
44
86
84
43
98
-75
-78
42
77
-78
-41
79
-76
-45
97
75
46
-96
47
90
-79
91
77
-87
75
-48
49
-55
88
56
86
89
57
-90
75
75
-58
75
74
59
73
72
50
93
71
40
97
43
-98
-70
99
-77
-100
-78
45
-46
-47
-89
49
-86
92
-50
-92
79
79
59
75
75
53
74
74
53
90
73
52
-98
56
-84
77
-97
76
94
-76
-56
58
-59
87
50
85
83
40
89
75
77
44
75
74
43
74
74
53
-87
-75
-42
-80
-46
